date,date,open,high,low,close,volume
2020-11-06,2020-11-06,9911.606,9998.004,9862.182,9982.55,2968090927
2020-11-09,2020-11-09,10045.556,10155.112,10045.556,10119.607,3271465427
2020-11-10,2020-11-10,10131.152,10136.819,10005.051,10064.783,3087053685
2020-11-11,2020-11-11,10039.618,10112.498,10006.011,10015.98,2927108979
2020-11-12,2020-11-12,10042.582,10085.688,10012.49,10080.582,2352867220
2020-11-13,2020-11-13,10021.698,10022.273,9888.272,9960.264,2167535917
2020-11-16,2020-11-16,10036.527,10040.854,9929.521,10040.854,2071719193
2020-11-17,2020-11-17,10046.45,10113.105,10003.288,10050.73,2513780394
2020-11-18,2020-11-18,10031.834,10100.013,9986.947,10038.552,2788156271
2020-11-19,2020-11-19,10035.396,10170.284,10015.342,10145.671,1900270564
2020-11-20,2020-11-20,10148.671,10180.841,10117.141,10159.548,1803636008
2020-11-23,2020-11-23,10175.029,10287.944,10136.543,10246.183,2423832941
2020-11-24,2020-11-24,10241.468,10242.631,10118.527,10149.084,1956110186
2020-11-25,2020-11-25,10192.878,10202.932,10027.133,10027.133,2311014975
2020-11-26,2020-11-26,10020.715,10057.892,9907.344,10015.518,2145466118
2020-11-27,2020-11-27,10051.379,10138.752,10027.999,10138.752,2042673058
2020-11-30,2020-11-30,10135.463,10226.632,10014.193,10014.193,3619895995
2020-12-01,2020-12-01,10031.928,10192.087,10029.828,10182.056,3075056300
2020-12-02,2020-12-02,10208.395,10267.167,10171.395,10226.896,3438212000
2020-12-03,2020-12-03,10226.251,10226.251,10114.296,10176.171,2507339905
2020-12-04,2020-12-04,10162.352,10193.313,10094.96,10175.167,2080912366
2020-12-07,2020-12-07,10176.199,10179.536,10081.943,10092.413,2046551040
2020-12-08,2020-12-08,10109.385,10120.696,10007.877,10024.942,1850927611
2020-12-09,2020-12-09,10042.957,10056.828,9871.867,9873.495,1851500365
2020-12-10,2020-12-10,9874.521,9940.93,9856.553,9891.026,1771203836
2020-12-11,2020-12-11,9933.754,9935.007,9731.963,9813.654,2311488363
2020-12-14,2020-12-14,9841.442,9915.671,9806.58,9907.227,1952459808
2020-12-15,2020-12-15,9907.383,9954.484,9830.382,9923.839,2019598122
2020-12-16,2020-12-16,9950.222,9987.929,9932.868,9959.058,1724881218
2020-12-17,2020-12-17,9959.418,10057.857,9940.849,10048.017,1859112695
2020-12-18,2020-12-18,10031.669,10071.132,9945.248,9996.158,1764474716
2020-12-21,2020-12-21,9971.328,10024.435,9874.975,10021.237,2651592232
2020-12-22,2020-12-22,10001.771,10043.866,9895.202,9904.782,2821683180
